1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
C,C,C,B,C,G,R,R,G,P,Y,Y,B,O,O,B,R,G,P,P,Y,P,O,Y,B,O,G
C,C,C,B,C,R,B,P,R,B,Y,O,B,P,R,P,P,G,Y,Y,O,Y,O,O,G,G,G
C,C,C,B,C,R,G,G,R,P,O,O,B,O,R,B,G,Y,P,P,O,P,Y,Y,B,G,Y
C,C,C,Y,C,O,Y,O,O,G,G,G,Y,Y,R,P,O,R,B,B,G,P,B,B,P,P,R
C,C,C,Y,C,O,Y,O,O,R,R,G,Y,Y,G,P,O,G,R,B,G,P,B,B,P,P,B
C,C,C,Y,C,B,Y,Y,B,O,R,B,O,O,B,P,Y,G,O,R,G,P,R,G,P,P,G
C,C,C,Y,C,B,Y,Y,B,O,R,B,R,R,B,P,Y,G,O,O,G,P,O,G,P,P,G
C,C,C,Y,C,B,Y,Y,B,P,P,B,O,P,B,O,Y,G,R,P,G,R,R,G,O,O,G
C,C,C,Y,C,B,Y,Y,B,P,R,B,O,R,B,O,Y,G,P,P,G,P,R,G,O,O,G
C,C,C,Y,C,B,Y,Y,B,R,R,B,O,O,B,P,Y,G,R,O,G,P,O,G,P,P,G
C,C,C,Y,C,B,Y,Y,B,R,R,B,O,P,B,O,Y,G,R,P,G,P,P,G,O,O,G
C,C,C,Y,C,B,Y,Y,G,O,R,B,O,O,B,P,Y,G,O,R,B,P,R,G,P,P,G
C,C,C,Y,C,B,Y,Y,G,O,R,B,R,R,B,P,Y,G,O,O,B,P,O,G,P,P,G
C,C,C,Y,C,B,Y,Y,G,P,O,B,R,O,B,R,Y,G,P,P,B,P,O,O,R,G,G
C,C,C,Y,C,B,Y,Y,G,P,P,B,O,P,B,O,Y,G,R,P,B,R,R,G,O,O,G
C,C,C,Y,C,B,Y,Y,G,P,R,B,O,R,B,O,Y,G,P,P,B,P,R,G,O,O,G
C,C,C,Y,C,B,Y,Y,G,P,R,R,O,B,B,O,Y,G,P,P,R,P,B,G,O,O,G
C,C,C,Y,C,B,Y,Y,G,R,R,B,O,O,B,P,Y,G,R,O,B,P,O,G,P,P,G
C,C,C,Y,C,B,Y,Y,G,R,R,B,O,P,B,O,Y,G,R,P,B,P,P,G,O,O,G
C,C,C,Y,C,B,G,G,G,P,Y,O,Y,Y,B,G,R,B,P,P,O,P,O,O,R,R,B
C,C,C,Y,C,B,G,G,G,P,Y,B,Y,Y,B,G,O,O,P,P,B,P,R,O,R,R,O
C,C,C,Y,C,B,G,R,R,P,Y,O,Y,Y,B,G,R,B,P,P,O,P,O,O,G,G,B
C,C,C,Y,C,B,R,R,B,O,Y,B,Y,Y,B,P,R,G,O,O,G,P,O,G,P,P,G
C,C,C,Y,C,B,R,R,G,O,Y,B,Y,Y,B,P,R,G,O,O,B,P,O,G,P,P,G
C,C,C,Y,C,G,Y,B,G,O,R,R,Y,Y,G,P,B,B,O,O,R,P,O,G,P,P,B
C,C,C,Y,C,G,Y,B,G,P,R,R,Y,Y,G,B,B,O,P,P,R,P,O,G,B,O,O
C,C,C,Y,C,G,Y,Y,G,O,B,B,B,B,R,P,Y,G,O,O,R,P,O,R,P,P,G
C,C,C,Y,C,G,Y,Y,G,R,R,O,P,P,O,P,Y,G,R,O,O,P,B,B,B,B,G
C,C,C,Y,C,G,Y,Y,G,R,R,O,B,B,O,P,Y,G,R,O,O,P,B,B,P,P,G
C,C,C,Y,C,G,G,G,G,P,O,O,Y,O,R,Y,Y,R,P,P,O,P,B,B,B,B,R
C,C,C,Y,C,G,G,G,G,P,R,R,Y,O,O,Y,Y,O,P,P,R,P,B,B,B,B,O
C,C,C,Y,C,R,B,B,R,O,Y,G,Y,Y,R,P,B,B,O,O,G,P,O,G,P,P,G
C,C,C,Y,C,R,B,B,R,P,Y,O,Y,Y,R,G,B,B,P,P,O,P,O,O,G,G,G
C,C,C,Y,C,R,Y,Y,R,O,B,B,B,B,R,P,Y,G,O,O,G,P,O,G,P,P,G
C,C,C,Y,C,R,Y,Y,R,P,P,O,B,P,R,B,Y,G,B,P,O,B,O,O,G,G,G
C,C,C,Y,C,R,Y,Y,R,P,B,O,B,B,R,B,Y,G,P,P,O,P,O,O,G,G,G
C,C,C,Y,C,R,G,B,R,P,Y,O,Y,Y,R,G,B,B,P,P,O,P,O,O,G,G,B
C,C,C,G,C,O,G,O,O,P,B,B,P,P,Y,G,O,Y,B,B,R,P,R,R,G,Y,Y
C,C,C,G,C,O,G,O,O,P,B,B,B,B,Y,G,O,Y,P,P,R,P,R,R,G,Y,Y
C,C,C,G,C,O,G,O,O,P,R,R,P,P,Y,G,O,Y,B,B,R,P,B,B,G,Y,Y
C,C,C,G,C,O,G,O,O,P,R,R,B,B,Y,G,O,Y,P,P,R,P,B,B,G,Y,Y
C,C,C,G,C,B,G,G,G,O,Y,B,O,O,B,P,R,R,O,Y,B,P,Y,Y,P,P,R
C,C,C,G,C,B,G,G,G,O,Y,Y,P,P,B,P,R,B,O,O,Y,P,O,Y,R,R,B
C,C,C,G,C,B,G,G,G,O,Y,Y,R,P,B,P,P,B,O,O,Y,R,O,Y,R,P,B
C,C,C,G,C,B,G,G,G,O,Y,Y,R,R,B,P,R,B,O,O,Y,P,O,Y,P,P,B
C,C,C,G,C,B,G,G,G,P,P,B,R,P,B,Y,O,O,R,P,B,R,Y,O,Y,Y,O
C,C,C,G,C,B,G,G,G,P,Y,Y,O,O,B,O,R,B,P,P,Y,P,O,Y,R,R,B
C,C,C,G,C,B,G,G,G,P,Y,Y,O,B,B,O,R,R,P,P,Y,P,B,Y,O,O,R
C,C,C,G,C,B,G,G,G,P,Y,Y,O,R,B,O,R,B,P,P,Y,P,R,Y,O,O,B
C,C,C,G,C,B,G,G,G,P,Y,Y,R,O,B,R,R,B,P,P,Y,P,O,Y,O,O,B
C,C,C,G,C,B,G,G,G,P,R,B,P,P,B,Y,O,O,R,R,B,P,Y,O,Y,Y,O
C,C,C,G,C,B,G,G,G,P,R,B,R,R,B,Y,O,O,P,P,B,P,Y,O,Y,Y,O
C,C,C,G,C,B,G,G,G,P,R,R,O,Y,B,O,Y,B,P,P,R,P,Y,Y,O,O,B
C,C,C,G,C,B,G,G,G,P,R,R,Y,Y,B,Y,O,B,P,P,R,P,O,O,Y,O,B
C,C,C,G,C,B,G,G,G,Y,O,B,Y,O,B,P,R,R,Y,Y,B,P,O,O,P,P,R
C,C,C,G,C,B,G,G,G,Y,R,B,Y,Y,B,P,O,O,R,R,B,P,Y,O,P,P,O
C,C,C,G,C,B,G,G,G,Y,R,B,Y,R,B,P,O,O,Y,Y,B,P,R,O,P,P,O
C,C,C,G,C,B,G,G,G,Y,R,R,Y,B,B,P,O,O,Y,Y,R,P,B,O,P,P,O
C,C,C,G,C,B,G,G,G,R,R,B,R,Y,B,P,O,O,Y,Y,B,P,Y,O,P,P,O
C,C,C,R,C,O,R,O,O,P,B,G,R,B,B,Y,O,B,P,P,G,P,Y,G,Y,Y,G
C,C,C,R,C,O,R,O,O,P,Y,Y,R,Y,B,G,O,B,P,P,B,P,Y,B,G,G,G
C,C,C,R,C,O,R,O,O,B,B,G,R,B,B,P,O,Y,G,G,G,P,Y,Y,P,P,Y
C,C,C,R,C,O,R,O,O,Y,Y,G,R,Y,G,P,O,G,Y,B,G,P,B,B,P,P,B
C,C,C,R,C,B,R,P,B,Y,O,B,R,P,B,P,P,G,Y,O,O,Y,Y,O,G,G,G
C,C,C,R,C,Y,R,B,B,P,Y,Y,R,O,Y,B,B,G,P,P,G,P,O,G,O,O,G
C,C,C,R,C,Y,R,Y,Y,P,O,O,R,O,Y,G,G,G,P,P,O,P,B,B,B,B,G
